ticker,company name,short name,industry,exchange
BREW,Craft Brew Alliance Inc.,Craft Brew Alliance,Beverages - Alcoholic,Nasdaq Global Select
BRF,VanEck Vectors Brazil Small-Cap,VanEck Vectors Brazil Small-Cap,,NYSE Arca
BRFS,BRF S.A.,BRF S.A.,Consumer Packaged Goods,New York Stock Exchange
BRG,Bluerock Residential Growth REIT Inc. Class A,Bluerock Residential Growth REIT,REITs,NYSE American
BRID,Bridgford Foods Corporation,Bridgford Foods,Consumer Packaged Goods,NASDAQ Global Market
BRK.A,Berkshire Hathaway Inc.,Berkshire Hathaway,Insurance,New York Stock Exchange
BRK.B,Berkshire Hathaway Inc.,Berkshire Hathaway,Insurance,New York Stock Exchange
BRKL,Brookline Bancorp Inc.,Brookline Bancorp,Banks,Nasdaq Global Select
BRKR,Bruker Corporation,Bruker,Medical Diagnostics & Research,Nasdaq Global Select
BRKS,Brooks Automation Inc.,Brooks Automation,Semiconductors,Nasdaq Global Select
BRN,Barnwell Industries Inc.,Barnwell Industries,Oil & Gas - E&P,NYSE American
BRO,Brown & Brown Inc.,Brown & Brown,Brokers & Exchanges,New York Stock Exchange
BRPA,Big Rock Partners Acquisition Corp.,Big Rock Partners Acquisition,Conglomerates,NASDAQ Capital Market
BRQS,Borqs Technologies Inc.,Borqs,Application Software,NASDAQ Capital Market
BRS,Bristow Group Inc.,Bristow,Oil & Gas - Services,New York Stock Exchange
BRSS,Global Brass and Copper Holdings Inc.,Global Brass and Copper,Industrial Products,New York Stock Exchange
BRT,BRT Apartments Corp. (MD),BRT Apartments (MD),REITs,New York Stock Exchange
BRX,Brixmor Property Group Inc.,Brixmor Property,REITs,New York Stock Exchange
BRY,Berry Petroleum Corporation,Berry Petroleum,Oil & Gas - E&P,Nasdaq Global Select
BSAC,Banco Santander - Chile ADS,Banco Santander Chile ADS,Banks,New York Stock Exchange
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Banco Santander Brasil SA American Depositary Shares each representing one unit,Banks,New York Stock Exchange
BSCJ,Invesco BulletShares 2019 Corporate Bond,Invesco BulletShares 2019 Corporate Bond,,NYSE Arca
BSCK,Invesco BulletShares 2020 Corporate Bond,Invesco BulletShares 2020 Corporate Bond,,NYSE Arca
BSD,BlackRock Strategic Municipal Trust Inc. (The),BlackRock Strategic Municipal Trust (The),Asset Management,New York Stock Exchange
BSE,Blackrock New York Municipal Income Quality Trust of Beneficial Interest,Blackrock New York Municipal Income Quality Trust of Beneficial Interest,Asset Management,New York Stock Exchange
BSET,Bassett Furniture Industries Incorporated,Bassett Furniture Industries Incorporated,Manufacturing - Apparel & Furniture,Nasdaq Global Select
BSGM,BioSig Technologies Inc.,BioSig,Medical Devices,NASDAQ Capital Market
BSIG,BrightSphere Investment Group plc,BrightSphere Investment plc,Asset Management,New York Stock Exchange
BSL,Blackstone GSO Senior Floating Rate Term Fund of Beneficial Interest,Blackstone GSO Senior Floating Rate Term Fund of Beneficial Interest,Asset Management,New York Stock Exchange
BSM,Black Stone Minerals L.P. representing limited partner interests,Black Stone Minerals representing limited partner interests,Oil & Gas - E&P,New York Stock Exchange
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Banks,New York Stock Exchange
BSQR,BSQUARE Corporation,BSQUARE,Application Software,NASDAQ Global Market
BSRR,Sierra Bancorp,Sierra Bancorp,Banks,Nasdaq Global Select
BST,BlackRock Science and Technology Trust of Beneficial Interest,BlackRock Science and Technology Trust of Beneficial Interest,Asset Management,New York Stock Exchange
BSTC,BioSpecifics Technologies Corp,BioSpecifics,Biotechnology,NASDAQ Global Market
BSTI,BEST Inc. American Depositary Shares each representing one Class A,BEST American Depositary Shares each representing one,Transportation & Logistics,New York Stock Exchange
BSV,Vanguard Short-Term Bond,Vanguard Short-Term Bond,,NYSE Arca
BSVN,Bank7 Corp.,Bank7,Banks,Nasdaq Global Select
BSX,Boston Scientific Corporation,Boston Scientific,Medical Devices,New York Stock Exchange
BT,BT Group plc American Depositary Shares,BT plc American Depositary Shares,Communication Services,New York Stock Exchange
BTA,BlackRock Long-Term Municipal Advantage Trust of Beneficial Interest,BlackRock Long-Term Municipal Advantage Trust of Beneficial Interest,Asset Management,New York Stock Exchange
BTAI,BioXcel Therapeutics Inc.,BioXcel Therapeutics,Biotechnology,NASDAQ Capital Market
BTAL,AGFiQ U.S. Market Neutral Anti-Beta Fund,AGFiQ U.S. Market Neutral Anti-Beta Fund,,NYSE Arca
BTE,Baytex Energy Corp,Baytex Energy,Oil & Gas - E&P,New York Stock Exchange
BTG,B2Gold Corp (Canada),B2Gold (Canada),Metals & Mining,NYSE American
BTI,British American Tobacco Industries p.l.c. ADR,British American Tobacco Industries p.l.c.,Tobacco Products,New York Stock Exchange
BTN,Ballantyne Strong Inc.,Ballantyne Strong,Travel & Leisure,NYSE American
BTO,John Hancock Financial Opportunities Fund,John Hancock Financial Opportunities Fund,Asset Management,New York Stock Exchange
BTT,BlackRock Municipal 2030 Target Term Trust,BlackRock Municipal 2030 Target Term Trust,Asset Management,New York Stock Exchange
BTU,Peabody Energy Corporation,Peabody Energy,Coal,New York Stock Exchange
BTX,BioTime Inc.,BioTime,Biotechnology,NYSE American
BTZ,BlackRock Credit Allocation Income Trust,BlackRock Credit Allocation Income Trust,Asset Management,New York Stock Exchange
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Anheuser-Busch Inbev SA Sponsored (Belgium),Beverages - Alcoholic,New York Stock Exchange
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,BlackRock Utility Infrastructure & Power Opportunities Trust,Asset Management,New York Stock Exchange
BURG,Chanticleer Holdings Inc.,Chanticleer,Restaurants,NASDAQ Capital Market
BURL,Burlington Stores Inc.,Burlington Stores,Retail - Defensive,New York Stock Exchange
BUSE,First Busey Corporation,First Busey,Banks,Nasdaq Global Select
BV,BrightView Holdings Inc.,BrightView,Business Services,New York Stock Exchange
BVN,Buenaventura Mining Company Inc.,Buenaventura Mining Company,Metals & Mining,New York Stock Exchange
BVSN,BroadVision Inc.,BroadVision,Application Software,NASDAQ Capital Market
BVXV,BiondVax Pharmaceuticals Ltd.,BiondVax Pharmaceuticals,Biotechnology,NASDAQ Capital Market
BW,Babcock & Wilcox Enterprises Inc.,Babcock & Wilcox Enterprises,Computer Hardware,New York Stock Exchange
BWA,BorgWarner Inc.,BorgWarner,Autos,New York Stock Exchange
BWB,Bridgewater Bancshares Inc.,Bridgewater Bancshares,Banks,NASDAQ Capital Market
BWEN,Broadwind Energy Inc.,Broadwind Energy,Industrial Products,NASDAQ Capital Market
BWFG,Bankwell Financial Group Inc.,Bankwell Financial,Banks,NASDAQ Global Market
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,BrandywineGLOBAL Global Income Opportunities Fund,Asset Management,New York Stock Exchange
BWL.A,Bowl America Inc. Class A,Bowl America,Travel & Leisure,NYSE American
BWMC,Boxwood Merger Corp.,Boxwood Merger,Conglomerates,NASDAQ Capital Market
BWX,SPDR Bloomberg Barclays Intl Treasury Bd,SPDR Bloomberg Barclays Intl Treasury Bd,,NYSE Arca
BWXT,BWX Technologies Inc.,BWX,Aerospace & Defense,New York Stock Exchange
BWZ,SPDR Bloomberg Barclays Short Term International Treasury Bond,SPDR Bloomberg Barclays Short Term International Treasury Bond,,NYSE Arca
BX,The Blackstone Group L.P. Representing Limited Partnership Interests,The Blackstone Representing Limited Partnership Interests,Asset Management,New York Stock Exchange
BXC,Bluelinx Holdings Inc.,Bluelinx,Building Materials,New York Stock Exchange
BXE,Bellatrix Exploration Ltd (Canada),Bellatrix Exploration (Canada),Oil & Gas - E&P,New York Stock Exchange
BXG,Bluegreen Vacations Corporation,Bluegreen Vacations,Travel & Leisure,New York Stock Exchange
BXMT,Blackstone Mortgage Trust Inc.,Blackstone Mortgage Trust,REITs,New York Stock Exchange
BXMX,Nuveen S&P 500 Buy-Write Income Fund of Beneficial Interest,Nuveen S&P 500 Buy-Write Income Fund of Beneficial Interest,Asset Management,New York Stock Exchange
BXP,Boston Properties Inc.,Boston Properties,REITs,New York Stock Exchange
BXS,BancorpSouth Bank,BancorpSouth Bank,Banks,New York Stock Exchange
BY,Byline Bancorp Inc.,Byline Bancorp,Banks,New York Stock Exchange
BYD,Boyd Gaming Corporation,Boyd Gaming,Travel & Leisure,New York Stock Exchange
BYFC,Broadway Financial Corporation,Broadway Financial,Banks,NASDAQ Capital Market
BYM,Blackrock Municipal Income Quality Trust of Beneficial Interest,Blackrock Municipal Income Quality Trust of Beneficial Interest,Asset Management,New York Stock Exchange
BYSI,BeyondSpring Inc.,BeyondSpring,Biotechnology,NASDAQ Capital Market
BZF,WisdomTree Brazilian Real Strategy Fund,WisdomTree Brazilian Real Strategy Fund,,NYSE Arca
BZH,Beazer Homes USA Inc.,Beazer Homes USA,Homebuilding & Construction,New York Stock Exchange
BZM,BlackRock Maryland Municipal Bond Trust of beneficial interest,BlackRock Maryland Municipal Bond Trust of beneficial interest,Asset Management,New York Stock Exchange
BZQ,ProShares UltraShort MSCI Brazil Capped,ProShares UltraShort MSCI Brazil Capped,,NYSE Arca
BZUN,Baozun Inc.,Baozun,Retail - Apparel & Specialty,Nasdaq Global Select
C,Citigroup Inc.,Citigroup,Banks,New York Stock Exchange
CAAP,Corporacion America Airports SA,Corporacion America Airports SA,Transportation & Logistics,New York Stock Exchange
CAAS,China Automotive Systems Inc.,China Automotive Systems,Autos,NASDAQ Capital Market
CABO,Cable One Inc.,Cable One,Communication Services,New York Stock Exchange
CAC,Camden National Corporation,Camden National,Banks,Nasdaq Global Select
CACC,Credit Acceptance Corporation,Credit Acceptance,Credit Services,Nasdaq Global Select
CACI,CACI International Inc. Class A,CACI International,Application Software,New York Stock Exchange
CADC,China Advanced Construction Materials Group Inc.,China Advanced Construction Materials,Building Materials,NASDAQ Capital Market
CADE,Cadence Bancorporation Class A,Cadence Bancorporation,Banks,New York Stock Exchange
CAE,CAE Inc.,CAE,Aerospace & Defense,New York Stock Exchange
CAF,Morgan Stanley China A Share Fund Inc.,Morgan Stanley China Share Fund,Asset Management,New York Stock Exchange
CAG,ConAgra Brands Inc.,ConAgra Brands,Consumer Packaged Goods,New York Stock Exchange
CAH,Cardinal Health Inc.,Cardinal Health,Medical Distribution,New York Stock Exchange
CAI,CAI International Inc.,CAI International,Consulting & Outsourcing,New York Stock Exchange
CAJ,Canon Inc. American Depositary Shares,Canon American Depositary Shares,Industrial Products,New York Stock Exchange
CAKE,The Cheesecake Factory Incorporated,The Cheesecake Factory Incorporated,Restaurants,Nasdaq Global Select
CAL,Caleres Inc.,Caleres,Manufacturing - Apparel & Furniture,New York Stock Exchange
CALA,Calithera Biosciences Inc.,Calithera Biosciences,Biotechnology,Nasdaq Global Select
CALM,Cal-Maine Foods Inc.,Cal-Maine Foods,Consumer Packaged Goods,Nasdaq Global Select
CALX,Calix Inc,Calix,Communication Equipment,New York Stock Exchange
CAMP,CalAmp Corp.,CalAmp,Communication Equipment,Nasdaq Global Select
CAMT,Camtek Ltd.,Camtek,Semiconductors,NASDAQ Global Market
CANE,Teucrium Sugar Fund ETV,Teucrium Sugar Fund ETV,,NYSE Arca
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Can-Fite Biopharma Sponsored (Israel),Biotechnology,NYSE American
CANG,Cango Inc. American Depositary Shares each representing two (2) Class A,Cango American Depositary Shares each representing two (2),Online Media,New York Stock Exchange
CAPL,CrossAmerica Partners LP representing limited partner interests,CrossAmerica Partners representing limited partner interests,Oil & Gas - Refining & Marketing,New York Stock Exchange
CAPR,Capricor Therapeutics Inc.,Capricor Therapeutics,Biotechnology,NASDAQ Capital Market
CAR,Avis Budget Group Inc.,Avis Budget,Consulting & Outsourcing,Nasdaq Global Select
CARA,Cara Therapeutics Inc.,Cara Therapeutics,Biotechnology,NASDAQ Global Market
CARB,Carbonite Inc.,Carbonite,Application Software,NASDAQ Global Market
CARG,CarGurus Inc.,CarGurus,Online Media,Nasdaq Global Select
CARO,Carolina Financial Corporation,Carolina Financial,Banks,NASDAQ Capital Market
CARS,Cars.com Inc.,Cars.com,Autos,New York Stock Exchange
CART,Carolina Trust BancShares Inc.,Carolina Trust BancShares,Banks,NASDAQ Capital Market
CARV,Carver Bancorp Inc.,Carver Bancorp,Banks,NASDAQ Capital Market
CARZ,First Trust NASDAQ Global Auto Index Fund,First Trust NASDAQ Global Auto Index Fund,,NASDAQ Global Market
CASA,Casa Systems Inc.,Casa Systems,Communication Equipment,Nasdaq Global Select
CASH,Meta Financial Group Inc.,Meta Financial,Banks,Nasdaq Global Select
CASI,CASI Pharmaceuticals Inc.,CASI Pharmaceuticals,Biotechnology,NASDAQ Capital Market
CASM,CAS Medical Systems Inc.,CAS Medical Systems,Medical Instruments & Equipment,NASDAQ Capital Market
CASS,Cass Information Systems Inc,Cass Information Systems,Business Services,Nasdaq Global Select
CASY,Caseys General Stores Inc.,Caseys General Stores,Retail - Defensive,Nasdaq Global Select
CAT,Caterpillar Inc.,Caterpillar,Farm & Construction Machinery,New York Stock Exchange
CATB,Catabasis Pharmaceuticals Inc.,Catabasis Pharmaceuticals,Biotechnology,NASDAQ Global Market
CATC,Cambridge Bancorp,Cambridge Bancorp,Banks,NASDAQ Capital Market
CATM,Cardtronics plc,Cardtronics plc,Business Services,Nasdaq Global Select
CATO,Cato Corporation (The) Class A,Cato (The),Retail - Apparel & Specialty,New York Stock Exchange
CATS,Catasys Inc.,Catasys,Health Care Providers,NASDAQ Capital Market
CATY,Cathay General Bancorp,Cathay General Bancorp,Banks,Nasdaq Global Select
CAW,CCA Industries Inc.,CCA Industries,Consumer Packaged Goods,NYSE American
CB,Chubb Limited,Chubb Limited,Insurance - Property & Casualty,New York Stock Exchange
CBAN,Colony Bankcorp Inc.,Colony Bankcorp,Banks,NASDAQ Global Market
CBAT,CBAK Energy Technology Inc.,CBAK Energy Technology,Computer Hardware,NASDAQ Global Market
CBAY,CymaBay Therapeutics Inc.,CymaBay Therapeutics,Biotechnology,Nasdaq Global Select
CBB,Cincinnati Bell Inc.,Cincinnati Bell,Communication Services,New York Stock Exchange
CBD,Companhia Brasileira de Distribuicao ADS,Companhia Brasileira de Distribuicao ADS,Retail - Apparel & Specialty,New York Stock Exchange
CBFV,CB Financial Services Inc.,CB Financial Services,Banks,NASDAQ Global Market
CBH,AllianzGI Convertible & Income 2024 Target Term Fund of Beneficial Interest,AllianzGI Convertible & Income 2024 Target Term Fund of Beneficial Interest,Asset Management,New York Stock Exchange
CBIO,Catalyst Biosciences Inc.,Catalyst Biosciences,Biotechnology,NASDAQ Capital Market
CBK,Christopher & Banks Corporation,Christopher & Banks,Retail - Apparel & Specialty,New York Stock Exchange
CBL,CBL & Associates Properties Inc.,CBL & Associates Properties,REITs,New York Stock Exchange
CBLI,Cleveland BioLabs Inc.,Cleveland BioLabs,Biotechnology,NASDAQ Capital Market
CBLK,Carbon Black Inc.,Carbon Black,Application Software,Nasdaq Global Select
CBM,Cambrex Corporation,Cambrex,Biotechnology,New York Stock Exchange
CBMB,CBM Bancorp Inc.,CBM Bancorp,Banks,NASDAQ Capital Market
CBMG,Cellular Biomedicine Group Inc.,Cellular Biomedicine,Biotechnology,NASDAQ Global Market
CBND,SPDR Bloomberg Barclays Corporate Bond,SPDR Bloomberg Barclays Corporate Bond,,NYSE Arca
CBNK,Capital Bancorp Inc.,Capital Bancorp,Banks,Nasdaq Global Select
CBOE,Cboe Global Markets Inc.,Cboe Global Markets,Brokers & Exchanges,Cboe Global Markets EDGX
CBPO,China Biologic Products Holdings Inc.,China Biologic Products,Biotechnology,Nasdaq Global Select
CBPX,Continental Building Products Inc.,Continental Building Products,Building Materials,New York Stock Exchange
CBRE,CBRE Group Inc Class A,CBRE,Real Estate Services,New York Stock Exchange
CBRL,Cracker Barrel Old Country Store Inc.,Cracker Barrel Old Country Store,Restaurants,Nasdaq Global Select
CBS,CBS Corporation Class B,CBS B,Entertainment,New York Stock Exchange
CBS.A,CBS Corporation Class A,CBS,Entertainment,New York Stock Exchange
CBSH,Commerce Bancshares Inc.,Commerce Bancshares,Banks,Nasdaq Global Select
CBT,Cabot Corporation,Cabot,Chemicals,New York Stock Exchange
CBTX,CBTX Inc.,CBTX,Banks,Nasdaq Global Select
CBU,Community Bank System Inc.,Community Bank System,Banks,New York Stock Exchange
CBZ,CBIZ Inc.,CBIZ,Business Services,New York Stock Exchange
CC,Chemours Company (The),Chemours Company (The),Chemicals,New York Stock Exchange
CCA,MFS California Municipal Fund of Beneficial Interest,MFS California Municipal Fund of Beneficial Interest,Asset Management,NYSE American
CCB,Coastal Financial Corporation,Coastal Financial,Banks,Nasdaq Global Select
CCBG,Capital City Bank Group,Capital City Bank,Banks,Nasdaq Global Select
CCC,Churchill Capital Corp Class A,Churchill Capital,Conglomerates,New York Stock Exchange
CCCL,China Ceramics Co. Ltd.,China Ceramics Co.,Building Materials,NASDAQ Capital Market
CCD,Calamos Dynamic Convertible & Income Fund,Calamos Dynamic Convertible & Income Fund,Asset Management,Nasdaq Global Select
CCEP,Coca-Cola European Partners plc,Coca-Cola European Partners plc,Beverages - Non-Alcoholic,New York Stock Exchange
CCF,Chase Corporation,Chase,Chemicals,NYSE American
CCH,Collier Creek Holdings Class A,Collier Creek,Conglomerates,New York Stock Exchange
CCI,Crown Castle International Corp. (REIT),Crown Castle International (REIT),REITs,New York Stock Exchange
CCIH,ChinaCache International Holdings Ltd.,ChinaCache International,Online Media,Nasdaq Global Select
CCJ,Cameco Corporation,Cameco,Metals & Mining,New York Stock Exchange
CCK,Crown Holdings Inc.,Crown,Packaging & Containers,New York Stock Exchange
CCL,Carnival Corporation,Carnival,Travel & Leisure,New York Stock Exchange
CCLP,CSI Compressco LP,CSI Compressco,Oil & Gas - Services,Nasdaq Global Select
CCM,Concord Medical Services Holdings Limited ADS (Each represents three),Concord Medical Services Limited ADS (Each represents three),Health Care Providers,New York Stock Exchange
CCMP,Cabot Microelectronics Corporation,Cabot Microelectronics,Semiconductors,Nasdaq Global Select
CCNE,CNB Financial Corporation,CNB Financial,Banks,Nasdaq Global Select
CCNI,Command Center Inc.,Command Center,Employment Services,NASDAQ Capital Market
CCO,Clear Channel Outdoor Holdings Inc. Class A,Clear Channel Outdoor,Advertising & Marketing Services,New York Stock Exchange
CCOI,Cogent Communications Holdings Inc.,Cogent Communications,Communication Services,Nasdaq Global Select
CCR,CONSOL Coal Resources LP representing limited partner interests,CONSOL Coal Resources representing limited partner interests,Coal,New York Stock Exchange
CCRC,China Customer Relations Centers Inc.,China Customer Relations Centers,Business Services,NASDAQ Capital Market
CCRN,Cross Country Healthcare Inc.,Cross Country Healthcare,Employment Services,Nasdaq Global Select
CCS,Century Communities Inc.,Century Communities,Homebuilding & Construction,New York Stock Exchange
CCU,Compania Cervecerias Unidas S.A.,Compania Cervecerias Unidas S.A.,Beverages - Alcoholic,New York Stock Exchange
CCXI,ChemoCentryx Inc.,ChemoCentryx,Biotechnology,Nasdaq Global Select
CDAY,Ceridian HCM Holding Inc.,Ceridian HCM Holding,Application Software,New York Stock Exchange
CDE,Coeur Mining Inc.,Coeur Mining,Metals & Mining,New York Stock Exchange
CDEV,Centennial Resource Development Inc.,Centennial Resource Development,Oil & Gas - E&P,NASDAQ Capital Market
CDK,CDK Global Inc.,CDK Global,Application Software,Nasdaq Global Select
CDLX,Cardlytics Inc.,Cardlytics,Online Media,NASDAQ Global Market
CDMO,Avid Bioservices Inc.,Avid Bioservices,Biotechnology,NASDAQ Capital Market
CDNA,CareDx Inc.,CareDx,Medical Diagnostics & Research,NASDAQ Global Market
CDNS,Cadence Design Systems Inc.,Cadence Design Systems,Application Software,Nasdaq Global Select
CDOR,Condor Hospitality Trust Inc.,Condor Hospitality Trust,REITs,NYSE American
CDR,Cedar Realty Trust Inc.,Cedar Realty Trust,REITs,New York Stock Exchange
CDTX,Cidara Therapeutics Inc.,Cidara Therapeutics,Biotechnology,NASDAQ Global Market
CDW,CDW Corporation,CDW,Application Software,Nasdaq Global Select
CDXC,ChromaDex Corporation,ChromaDex,Biotechnology,NASDAQ Capital Market
CDXS,Codexis Inc.,Codexis,Biotechnology,Nasdaq Global Select
CDZI,Cadiz Inc.,Cadiz,Utilities - Regulated,NASDAQ Global Market
CE,Celanese Corporation,Celanese,Chemicals,New York Stock Exchange
CEA,China Eastern Airlines Corporation Ltd.,China Eastern Airlines,Airlines,New York Stock Exchange
CECE,CECO Environmental Corp.,CECO Environmental,Industrial Products,Nasdaq Global Select
CECO,Career Education Corporation,Career Education,Education,Nasdaq Global Select
CEE,The Central and Eastern Europe Fund Inc. (The),The Central and Eastern Europe Fund (The),Asset Management,New York Stock Exchange
CEF,Sprott Physical Gold and Silver Trust Units,Sprott Physical Gold and Silver Trust Units,Asset Management,NYSE Arca
CEI,Camber Energy Inc.,Camber Energy,Oil & Gas - Drilling,NYSE American
CEIX,CONSOL Energy Inc.,CONSOL Energy,Coal,New York Stock Exchange
CEL,Cellcom Israel Ltd.,Cellcom Israel,Communication Services,New York Stock Exchange
CELC,Celcuity Inc.,Celcuity,Medical Diagnostics & Research,NASDAQ Capital Market
CELG,Celgene Corporation,Celgene,Biotechnology,Nasdaq Global Select
CELH,Celsius Holdings Inc.,Celsius,Beverages - Non-Alcoholic,NASDAQ Capital Market
CELP,Cypress Energy Partners L.P. representing limited partner interests,Cypress Energy Partners representing limited partner interests,Oil & Gas - Services,New York Stock Exchange
CEM,ClearBridge MLP and Midstream Fund Inc.,ClearBridge MLP and Midstream Fund,Asset Management,New York Stock Exchange
CEMI,Chembio Diagnostics Inc.,Chembio Diagnostics,Medical Diagnostics & Research,NASDAQ Capital Market
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,Center Coast Brookfield MLP & Energy Infrastructure Fund,Asset Management,New York Stock Exchange
CENT,Central Garden & Pet Company,Central Garden & Pet Company,Consumer Packaged Goods,Nasdaq Global Select
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,Central Garden & Pet Company Common Stock Nonvoting,Consumer Packaged Goods,Nasdaq Global Select
CENX,Century Aluminum Company,Century Aluminum Company,Metals & Mining,Nasdaq Global Select
CEO,CNOOC Limited,CNOOC Limited,Oil & Gas - E&P,New York Stock Exchange
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten),Central Puerto S.A. American Depositary Shares (each represents ten),Utilities - Regulated,New York Stock Exchange
CEQP,Crestwood Equity Partners LP,Crestwood Equity Partners,Oil & Gas - Midstream,New York Stock Exchange
CERC,Cerecor Inc.,Cerecor,Biotechnology,NASDAQ Capital Market
CERN,Cerner Corporation,Cerner,Application Software,Nasdaq Global Select
CERS,Cerus Corporation,Cerus,Biotechnology,NASDAQ Global Market
CET,Central Securities Corporation,Central Securities,Asset Management,NYSE American
CETV,Central European Media Enterprises Ltd.,Central European Media Enterprises,Entertainment,Nasdaq Global Select
CETX,Cemtrex Inc.,Cemtrex,Industrial Products,NASDAQ Capital Market
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,Asset Management,NYSE American
CEVA,CEVA Inc.,CEVA,Semiconductors,Nasdaq Global Select
CEW,WisdomTree Emerging Currency Strategy Fund,WisdomTree Emerging Currency Strategy Fund,,NYSE Arca
CF,CF Industries Holdings Inc.,CF Industries,Agriculture,New York Stock Exchange
CFBI,Community First Bancshares Inc.,Community First Bancshares,Banks,NASDAQ Capital Market
CFBK,Central Federal Corporation,Central Federal,Banks,NASDAQ Capital Market
CFFI,C&F Financial Corporation,C&F Financial,Banks,Nasdaq Global Select
CFFN,Capitol Federal Financial Inc.,Capitol Federal Financial,Banks,Nasdaq Global Select
CFG,Citizens Financial Group Inc.,Citizens Financial,Banks,New York Stock Exchange
CFMS,Conformis Inc.,Conformis,Medical Devices,Nasdaq Global Select
CFR,Cullen/Frost Bankers Inc.,Cullen/Frost Bankers,Banks,New York Stock Exchange
CFRX,ContraFect Corporation,ContraFect,Biotechnology,NASDAQ Capital Market
CFX,Colfax Corporation,Colfax,Industrial Products,New York Stock Exchange
CG,The Carlyle Group L.P.,The Carlyle,Asset Management,Nasdaq Global Select
CGA,China Green Agriculture Inc.,China Green Agriculture,Agriculture,New York Stock Exchange
CGBD,TCG BDC Inc.,TCG BDC,Asset Management,Nasdaq Global Select
CGC,Canopy Growth Corporation,Canopy Growth,Drug Manufacturers,New York Stock Exchange
CGEN,Compugen Ltd.,Compugen,Biotechnology,NASDAQ Global Market
CGIX,Cancer Genetics Inc.,Cancer Genetics,Medical Diagnostics & Research,NASDAQ Capital Market
CGNX,Cognex Corporation,Cognex,Computer Hardware,Nasdaq Global Select
CGO,Calamos Global Total Return Fund,Calamos Global Total Return Fund,Asset Management,Nasdaq Global Select
CGW,Invesco S&P Global Water Index,Invesco S&P Global Water Index,,NYSE Arca
CHA,China Telecom Corp Ltd ADS,China Telecom ADS,Communication Services,New York Stock Exchange
CHAP,Chaparral Energy Inc. Class A,Chaparral Energy,Oil & Gas - E&P,New York Stock Exchange
CHCI,Comstock Holding Companies Inc.,Comstock Holding Companies,Real Estate Services,NASDAQ Capital Market
CHCO,City Holding Company,City Holding Company,Banks,Nasdaq Global Select
CHCT,Community Healthcare Trust Incorporated,Community Healthcare Trust Incorporated,REITs,New York Stock Exchange
CHD,Church & Dwight Company Inc.,Church & Dwight Company,Consumer Packaged Goods,New York Stock Exchange
CHDN,Churchill Downs Incorporated,Churchill Downs Incorporated,Travel & Leisure,Nasdaq Global Select
CHE,Chemed Corp,Chemed,Health Care Providers,New York Stock Exchange
CHEF,The Chefs' Warehouse Inc.,The Chefs' Warehouse,Retail - Defensive,Nasdaq Global Select
CHEK,Check-Cap Ltd.,Check-Cap,Medical Diagnostics & Research,NASDAQ Capital Market
CHEP,AGFiQ U.S. Market Neutral Value Fund,AGFiQ U.S. Market Neutral Value Fund,,NYSE Arca
CHFC,Chemical Financial Corporation,Chemical Financial,Banks,Nasdaq Global Select
CHFS,CHF Solutions Inc.,CHF Solutions,Medical Devices,NASDAQ Capital Market
CHGG,Chegg Inc.,Chegg,Education,New York Stock Exchange
CHH,Choice Hotels International Inc.,Choice Hotels International,Travel & Leisure,New York Stock Exchange
CHI,Calamos Convertible Opportunities and Income Fund,Calamos Convertible Opportunities and Income Fund,Asset Management,Nasdaq Global Select
CHIC,Global X MSCI China Communication Services ETF,Global X MSCI China Communication Services ETF,,NASDAQ Global Market
CHIE,Global X MSCI China Energy,Global X MSCI China Energy,,NYSE Arca
CHII,Global X MSCI China Industrials,Global X MSCI China Industrials,,NYSE Arca
CHIQ,Global X MSCI China Consumer Discretionary,Global X MSCI China Consumer Discretionary,,NYSE Arca
CHIX,Global X MSCI China Financials,Global X MSCI China Financials,,NYSE Arca
CHK,Chesapeake Energy Corporation,Chesapeake Energy,Oil & Gas - E&P,New York Stock Exchange
CHKE,Cherokee Inc.,Cherokee,Retail - Apparel & Specialty,NASDAQ Capital Market
CHKP,Check Point Software Technologies Ltd.,Check Point Software,Application Software,Nasdaq Global Select
CHKR,Chesapeake Granite Wash Trust representing beneficial interests in the Trust,Chesapeake Granite Wash Trust representing beneficial interests in the Trust,Oil & Gas - E&P,New York Stock Exchange
CHL,China Mobile Limited,China Mobile Limited,Communication Services,New York Stock Exchange
CHMA,Chiasma Inc.,Chiasma,Biotechnology,Nasdaq Global Select
CHMG,Chemung Financial Corp,Chemung Financial,Banks,Nasdaq Global Select
CHMI,Cherry Hill Mortgage Investment Corporation,Cherry Hill Mortgage Investment,REITs,New York Stock Exchange
CHN,China Fund Inc. (The),China Fund (The),Asset Management,New York Stock Exchange
